# amplitude duration logL logPrior
1.160129023138135151e+00 2.011888619724196303e+01 2.627305782386086719e+01 -5.228481599920394629e+00
1.127911435284438380e+00 1.981471384190089680e+01 2.634122312352053541e+01 -5.228481599920394629e+00
1.272610776304633928e+00 1.600196988997097591e+01 2.645773659935676392e+01 -5.228481599920394629e+00
1.150416798671089147e+00 2.007258599773000185e+01 2.653749980421531518e+01 -5.228481599920394629e+00
1.126903173243668732e+00 1.899576593007653003e+01 2.656200330574817770e+01 -5.228481599920394629e+00
1.282963662244618552e+00 1.600145888649546322e+01 2.680502778553643850e+01 -5.228481599920394629e+00
1.150796567701096951e+00 1.793795129094153751e+01 2.682162273570190791e+01 -5.228481599920394629e+00
1.324575645758023335e+00 1.702801818702351611e+01 2.694098947194301275e+01 -5.228481599920394629e+00
1.136858556842657908e+00 1.982000797712968421e+01 2.702415902002474013e+01 -5.228481599920394629e+00
1.145444720692439189e+00 1.989199839071606846e+01 2.722997395955614763e+01 -5.228481599920394629e+00
1.219873933021636381e+00 1.944571071372357807e+01 2.723453828632194984e+01 -5.228481599920394629e+00
1.260765163744322237e+00 1.874692585573749781e+01 2.732575203814721476e+01 -5.228481599920394629e+00
1.146275611759106416e+00 1.822715764571484343e+01 2.742372620211192213e+01 -5.228481599920394629e+00
1.287041138654140937e+00 1.608693779985656747e+01 2.748935291475532949e+01 -5.228481599920394629e+00
1.149461160969441176e+00 1.985179254961083117e+01 2.753837491504283719e+01 -5.228481599920394629e+00
1.314055758368101179e+00 1.626164872908558579e+01 2.770796221943054150e+01 -5.228481599920394629e+00
1.307638615769812773e+00 1.619210191871940907e+01 2.775399003602824166e+01 -5.228481599920394629e+00
1.145843404449202074e+00 1.975430012670025448e+01 2.775418249240102853e+01 -5.228481599920394629e+00
1.319454797122567191e+00 1.691306408455098520e+01 2.786128134567672987e+01 -5.228481599920394629e+00
1.203820545560558841e+00 1.955578326999957284e+01 2.792336578862847318e+01 -5.228481599920394629e+00
1.243539084000559791e+00 1.640102608906317272e+01 2.798217337775902536e+01 -5.228481599920394629e+00
1.243054527158970135e+00 1.640880162331689363e+01 2.800693303735637585e+01 -5.228481599920394629e+00
1.301560796923876273e+00 1.764969998180390931e+01 2.802808983971372925e+01 -5.228481599920394629e+00
1.174769949564906435e+00 1.750415253160910467e+01 2.811292829848001418e+01 -5.228481599920394629e+00
1.161787903955682211e+00 1.975930985308135135e+01 2.820098345352739955e+01 -5.228481599920394629e+00
1.313610362453830449e+00 1.711927708512161317e+01 2.821337672284332143e+01 -5.228481599920394629e+00
1.145086044886152177e+00 1.852753079541263759e+01 2.823522619885423524e+01 -5.228481599920394629e+00
1.280016001416544036e+00 1.621613594234775846e+01 2.826223356694774225e+01 -5.228481599920394629e+00
1.139821939975512066e+00 1.927282247685806027e+01 2.828910269802825894e+01 -5.228481599920394629e+00
1.156638550287698353e+00 1.971252476527198638e+01 2.831220549356511640e+01 -5.228481599920394629e+00
1.168832795121101942e+00 1.973617394645591006e+01 2.832333880058416753e+01 -5.228481599920394629e+00
1.144502059868877097e+00 1.947387785300285756e+01 2.842397888765962932e+01 -5.228481599920394629e+00
1.141132609607468318e+00 1.911243618147775436e+01 2.848264739936352896e+01 -5.228481599920394629e+00
1.229897595426765244e+00 1.661571281182395765e+01 2.851833076706597581e+01 -5.228481599920394629e+00
1.158278154941313032e+00 1.806164044304136596e+01 2.855023544523312751e+01 -5.228481599920394629e+00
1.142761482249203597e+00 1.925777684614517682e+01 2.858359689404647952e+01 -5.228481599920394629e+00
1.283210418195173119e+00 1.805650011193231919e+01 2.860353553684322492e+01 -5.228481599920394629e+00
1.313253849757659575e+00 1.689419234652626045e+01 2.860446151583188623e+01 -5.228481599920394629e+00
1.310978797263754991e+00 1.707532807831577770e+01 2.862964431593047721e+01 -5.228481599920394629e+00
1.301583447241036140e+00 1.634774626044271173e+01 2.864613600360966927e+01 -5.228481599920394629e+00
1.143969156471207782e+00 1.892671783593637258e+01 2.873761490729476975e+01 -5.228481599920394629e+00
1.285914098577542353e+00 1.794888318077624589e+01 2.879925204917304882e+01 -5.228481599920394629e+00
1.210012938767843105e+00 1.935368403156504868e+01 2.880042362803072820e+01 -5.228481599920394629e+00
1.186378699942359338e+00 1.736323301508797812e+01 2.884392627452830027e+01 -5.228481599920394629e+00
1.274321073813052596e+00 1.633408468844188022e+01 2.891146033406869265e+01 -5.228481599920394629e+00
1.154654526410291426e+00 1.833625473085099600e+01 2.900800026598709280e+01 -5.228481599920394629e+00
1.298232047768175246e+00 1.752212352025884812e+01 2.901122482238962164e+01 -5.228481599920394629e+00
1.289514396200680313e+00 1.780241595473264837e+01 2.901842670092041487e+01 -5.228481599920394629e+00
1.276994347858946721e+00 1.634921468215418372e+01 2.903498307225954989e+01 -5.228481599920394629e+00
1.151867714918121122e+00 1.941208641381740563e+01 2.904458873486157700e+01 -5.228481599920394629e+00
1.264308023698935912e+00 1.639804164903316064e+01 2.906629846050775257e+01 -5.228481599920394629e+00
1.147887765089221190e+00 1.881314225187220046e+01 2.909064893020456566e+01 -5.228481599920394629e+00
1.160545597658669159e+00 1.812450793461983523e+01 2.910032817908472680e+01 -5.228481599920394629e+00
1.185238401117837848e+00 1.743758626776939735e+01 2.913058020327687814e+01 -5.228481599920394629e+00
1.223319994969699342e+00 1.912928973458771154e+01 2.913119341407418972e+01 -5.228481599920394629e+00
1.248194530737090524e+00 1.872309901423790990e+01 2.914778120025196984e+01 -5.228481599920394629e+00
1.281429494674024117e+00 1.798755099507485511e+01 2.920688980388901257e+01 -5.228481599920394629e+00
1.204450508252964180e+00 1.933897543246038353e+01 2.927816094436113303e+01 -5.228481599920394629e+00
1.151581307840506829e+00 1.863369753366787052e+01 2.928876131603553290e+01 -5.228481599920394629e+00
1.176694588861530999e+00 1.767569847921471649e+01 2.930245405788507185e+01 -5.228481599920394629e+00
1.290317767841264951e+00 1.771138170403584766e+01 2.930525270946165506e+01 -5.228481599920394629e+00
1.304759047172639796e+00 1.708115369390436200e+01 2.932294706368439563e+01 -5.228481599920394629e+00
1.248890554363004002e+00 1.654141925580777084e+01 2.933400859104750680e+01 -5.228481599920394629e+00
1.156290877644404524e+00 1.935528420060929733e+01 2.942361747312943976e+01 -5.228481599920394629e+00
1.150616650258068363e+00 1.888898790716075027e+01 2.943297368450568285e+01 -5.228481599920394629e+00
1.226588935210908060e+00 1.903342205836977996e+01 2.943914121184245403e+01 -5.228481599920394629e+00
1.198230770399771661e+00 1.936438971913135632e+01 2.947785857661816067e+01 -5.228481599920394629e+00
1.193440257159273266e+00 1.732560134960870002e+01 2.948043585105206432e+01 -5.228481599920394629e+00
1.167504060533510968e+00 1.799081159435273847e+01 2.950495917812682478e+01 -5.228481599920394629e+00
1.289307992160546812e+00 1.769104348453505082e+01 2.951256714169757345e+01 -5.228481599920394629e+00
1.156719567606453225e+00 1.932225383557196352e+01 2.952045335532386616e+01 -5.228481599920394629e+00
1.179721262234084245e+00 1.764387534058471019e+01 2.952589896844744999e+01 -5.228481599920394629e+00
1.163538066557405770e+00 1.941723088616588200e+01 2.956183593644055918e+01 -5.228481599920394629e+00
1.297842580447644556e+00 1.658841983264022346e+01 2.958196621144887217e+01 -5.228481599920394629e+00
1.172494169838373512e+00 1.785523896189177151e+01 2.958741224716344220e+01 -5.228481599920394629e+00
1.298573306127339233e+00 1.730902466146143226e+01 2.959112091266807454e+01 -5.228481599920394629e+00
1.296700588940785437e+00 1.657016863754112279e+01 2.959154430585597595e+01 -5.228481599920394629e+00
1.238445841294021132e+00 1.882148333033831022e+01 2.959841608071965879e+01 -5.228481599920394629e+00
1.303048923064205056e+00 1.685617786469085644e+01 2.960113045512449048e+01 -5.228481599920394629e+00
1.219333156253502803e+00 1.690913466523709374e+01 2.960865320802702172e+01 -5.228481599920394629e+00
1.194602307338334057e+00 1.732777206584739815e+01 2.962457275049652594e+01 -5.228481599920394629e+00
1.301974895758224449e+00 1.704527438025984409e+01 2.964593833279009516e+01 -5.228481599920394629e+00
1.175721499404426940e+00 1.777825321415954463e+01 2.965529154010771151e+01 -5.228481599920394629e+00
1.180573817800230962e+00 1.765023529488485821e+01 2.965993671061545456e+01 -5.228481599920394629e+00
1.221602516017044726e+00 1.688654139536606991e+01 2.966313904956390957e+01 -5.228481599920394629e+00
1.244924820836957879e+00 1.869069228154745943e+01 2.970825668941994024e+01 -5.228481599920394629e+00
1.184259505921364308e+00 1.757039120947857569e+01 2.971235499346806819e+01 -5.228481599920394629e+00
1.170968108630938920e+00 1.793652030212931336e+01 2.972602581141184430e+01 -5.228481599920394629e+00
1.163361799461557267e+00 1.821235207107881493e+01 2.973927270241271970e+01 -5.228481599920394629e+00
1.155501773326061521e+00 1.864822837533488098e+01 2.974783202956372463e+01 -5.228481599920394629e+00
1.189613654007040333e+00 1.745567450551718380e+01 2.975123490392962822e+01 -5.228481599920394629e+00
1.157844916680682124e+00 1.848723444601865040e+01 2.975539728423294150e+01 -5.228481599920394629e+00
1.245726898935753058e+00 1.663475544298183451e+01 2.975905443582827559e+01 -5.228481599920394629e+00
1.177136579103996050e+00 1.776575076429226030e+01 2.977200184656854276e+01 -5.228481599920394629e+00
1.155367823672650118e+00 1.910643460871452959e+01 2.977837717900612802e+01 -5.228481599920394629e+00
1.158958647863119751e+00 1.844981057495700938e+01 2.980872161222369243e+01 -5.228481599920394629e+00
1.298263747557133918e+00 1.719997636324417201e+01 2.983161089770041485e+01 -5.228481599920394629e+00
1.269991196562818558e+00 1.814707105410062127e+01 2.984344601929396390e+01 -5.228481599920394629e+00
1.180307029636368910e+00 1.769862720425372871e+01 2.985169963650832869e+01 -5.228481599920394629e+00
1.277425132109282213e+00 1.795575306598518495e+01 2.985727839865356259e+01 -5.228481599920394629e+00
1.199298352598420436e+00 1.727857219070135386e+01 2.986122700060974466e+01 -5.228481599920394629e+00
1.155604932956753927e+00 1.875873415760474927e+01 2.986301745971022115e+01 -5.228481599920394629e+00
1.187772718064535882e+00 1.936198827298736092e+01 2.986997963531705125e+01 -5.228481599920394629e+00
1.158140674359513955e+00 1.917982011814977383e+01 2.987085638283596722e+01 -5.228481599920394629e+00
1.159452554085701914e+00 1.922320759813984736e+01 2.987237946473332784e+01 -5.228481599920394629e+00
1.295050863737972957e+00 1.665133909801641465e+01 2.987684350143891265e+01 -5.228481599920394629e+00
1.228229428270692702e+00 1.893552733891960571e+01 2.988133756803406982e+01 -5.228481599920394629e+00
1.161446276779213083e+00 1.835491448914654455e+01 2.988714405131079843e+01 -5.228481599920394629e+00
1.201517377227067973e+00 1.724261388492420366e+01 2.989205307526478350e+01 -5.228481599920394629e+00
1.266208616050302993e+00 1.822608859401395520e+01 2.989211001492067510e+01 -5.228481599920394629e+00
1.297957348717367454e+00 1.675322359900661340e+01 2.989548901635787104e+01 -5.228481599920394629e+00
1.292936724943995142e+00 1.662578279942132653e+01 2.991505950683213655e+01 -5.228481599920394629e+00
