# Tau0 Delta logL logPrior
8.483251625723443823e+00 9.641843729670742658e-01 1.051008115907918494e+02 -2.708050201102210508e+00
8.626962904718661562e+00 8.405086012127859219e-01 1.051282046198027587e+02 -2.708050201102210508e+00
8.166932652908450052e+00 1.906180718988469858e+00 1.051609258613168265e+02 -2.708050201102210508e+00
8.133828063156812505e+00 1.619150188732138007e+00 1.051798416864262009e+02 -2.708050201102210508e+00
8.138735674169719658e+00 1.719383640482504694e+00 1.052045385269494773e+02 -2.708050201102210508e+00
1.044498024679875492e+01 1.828254120910764557e+00 1.052081711065683720e+02 -2.708050201102210508e+00
8.144869427869517509e+00 1.676862348430168126e+00 1.052328461603564733e+02 -2.708050201102210508e+00
1.040450377909951740e+01 1.886219303519188983e+00 1.052382977184883828e+02 -2.708050201102210508e+00
8.218288980884961958e+00 1.365607440005869977e+00 1.052561459103569916e+02 -2.708050201102210508e+00
8.223453108060541084e+00 1.355539961450801689e+00 1.052600262409205385e+02 -2.708050201102210508e+00
9.003110274096018273e+00 6.242743709814090325e-01 1.052619986085707353e+02 -2.708050201102210508e+00
1.040215300310013902e+01 1.863176640040525189e+00 1.052824542223174831e+02 -2.708050201102210508e+00
1.047144234699778309e+01 1.667604636292164155e+00 1.053049634063181514e+02 -2.708050201102210508e+00
8.243704707670596932e+00 1.952518245581268852e+00 1.053058541647471742e+02 -2.708050201102210508e+00
1.047662680576388539e+01 1.593234306932495015e+00 1.053361077798536201e+02 -2.708050201102210508e+00
8.187470629192239002e+00 1.540015821926604467e+00 1.053599334153458642e+02 -2.708050201102210508e+00
1.042314221402533825e+01 1.756195544767663375e+00 1.053751776058892631e+02 -2.708050201102210508e+00
1.046252194348133457e+01 1.616543156287425065e+00 1.053775910171537191e+02 -2.708050201102210508e+00
8.262027645670594111e+00 1.334475686494565494e+00 1.054155417274927942e+02 -2.708050201102210508e+00
8.216522399765672446e+00 1.469415936691194524e+00 1.054233232428532290e+02 -2.708050201102210508e+00
1.042464585133878074e+01 1.710072699463347057e+00 1.054271809140381038e+02 -2.708050201102210508e+00
1.044474319645775573e+01 1.635565555503249779e+00 1.054305346984796756e+02 -2.708050201102210508e+00
1.044710262979059578e+01 1.357732641252000994e+00 1.054351470024269446e+02 -2.708050201102210508e+00
1.034134277528340995e+01 1.863366980060904288e+00 1.054517155511003210e+02 -2.708050201102210508e+00
9.945974265281799731e+00 7.184781743131080090e-01 1.054690395455574361e+02 -2.708050201102210508e+00
8.289708649447970146e+00 1.300961298853335890e+00 1.054813823995499007e+02 -2.708050201102210508e+00
1.022168743060425200e+01 1.983005975484322558e+00 1.055055726168580321e+02 -2.708050201102210508e+00
1.021371106698579823e+01 1.987034272038671778e+00 1.055139767376520865e+02 -2.708050201102210508e+00
8.220926373703539625e+00 1.655164021037908162e+00 1.055143059846991775e+02 -2.708050201102210508e+00
8.411028578091020336e+00 1.116065077741630995e+00 1.055401819661378369e+02 -2.708050201102210508e+00
8.372682369803131408e+00 1.180079050963609433e+00 1.055734106316758130e+02 -2.708050201102210508e+00
8.240180856435515011e+00 1.531653797084826518e+00 1.055761532783291443e+02 -2.708050201102210508e+00
1.041757969871206591e+01 1.407655731715348635e+00 1.056127020976742585e+02 -2.708050201102210508e+00
1.040041760108024604e+01 1.612299422952321315e+00 1.056140767744172280e+02 -2.708050201102210508e+00
8.362800080078761411e+00 1.930852121604663019e+00 1.056248581245773153e+02 -2.708050201102210508e+00
1.037948902510481730e+01 1.238571384140036979e+00 1.056302350659244240e+02 -2.708050201102210508e+00
1.029629943164347416e+01 1.067757604853794673e+00 1.056402718708984878e+02 -2.708050201102210508e+00
1.025053595544675211e+01 1.884100102146266886e+00 1.056459793116936368e+02 -2.708050201102210508e+00
1.016649466889010078e+01 1.967712677769266838e+00 1.056560929982730528e+02 -2.708050201102210508e+00
8.304252230940598167e+00 1.807033335583050571e+00 1.056607480525143927e+02 -2.708050201102210508e+00
8.338605344376288642e+00 1.869304534330977319e+00 1.056661623668146888e+02 -2.708050201102210508e+00
1.025139597415002690e+01 1.871220019571370186e+00 1.056695551762239660e+02 -2.708050201102210508e+00
8.291016459913013392e+00 1.755950571347420386e+00 1.056792610086945814e+02 -2.708050201102210508e+00
1.032363512268870664e+01 1.756558974322148803e+00 1.056817984936811570e+02 -2.708050201102210508e+00
1.019231699972804606e+01 1.930518082050276973e+00 1.056834639580323056e+02 -2.708050201102210508e+00
9.914048440527285067e+00 7.164737783361267986e-01 1.056956256432758039e+02 -2.708050201102210508e+00
1.027999460950328015e+01 1.814788547430236765e+00 1.057040301391216417e+02 -2.708050201102210508e+00
1.030197842279389775e+01 1.768172510425826127e+00 1.057254437787353112e+02 -2.708050201102210508e+00
1.026521848428651928e+01 1.821208651684870006e+00 1.057311406776224629e+02 -2.708050201102210508e+00
8.538618473567069600e+00 9.945102596605065459e-01 1.057361313283882964e+02 -2.708050201102210508e+00
1.028159637808546734e+01 1.791797993948941015e+00 1.057412853635673429e+02 -2.708050201102210508e+00
8.339942398012073710e+00 1.813636625359040799e+00 1.057489239025566690e+02 -2.708050201102210508e+00
1.038086645321424761e+01 1.529791369859279548e+00 1.057509887259770807e+02 -2.708050201102210508e+00
8.298733485876406135e+00 1.698745895186926758e+00 1.057536980925678733e+02 -2.708050201102210508e+00
8.287505922233204814e+00 1.500739304249529171e+00 1.057561643922928880e+02 -2.708050201102210508e+00
8.321297308173376095e+00 1.763037988637874642e+00 1.057601172417262774e+02 -2.708050201102210508e+00
8.382190063070563468e+00 1.873849998087933288e+00 1.057649189117145170e+02 -2.708050201102210508e+00
8.445009360986372116e+00 1.950607640504408158e+00 1.057654481727213778e+02 -2.708050201102210508e+00
8.349588880905407962e+00 1.809262526312431563e+00 1.057803253803378283e+02 -2.708050201102210508e+00
8.367274907623327707e+00 1.255442422155932380e+00 1.057841569431596298e+02 -2.708050201102210508e+00
1.020715428149100035e+01 1.866042003696426255e+00 1.057867053135427398e+02 -2.708050201102210508e+00
1.032435730721790712e+01 1.172364726462035156e+00 1.058045016938991836e+02 -2.708050201102210508e+00
8.383740570543118054e+00 1.230973355504803912e+00 1.058074423316867723e+02 -2.708050201102210508e+00
8.426634147222557658e+00 1.902107139051066431e+00 1.058174487752327337e+02 -2.708050201102210508e+00
8.531634317414599877e+00 1.016984122758337605e+00 1.058241874015350845e+02 -2.708050201102210508e+00
8.330972875155946866e+00 1.724920629342555856e+00 1.058288630840081623e+02 -2.708050201102210508e+00
1.035451434548176231e+01 1.558093778509596072e+00 1.058308823550031974e+02 -2.708050201102210508e+00
1.034340400157715756e+01 1.597521332402416006e+00 1.058332548786410143e+02 -2.708050201102210508e+00
8.329670013463793765e+00 1.378884191182706553e+00 1.058341912444178234e+02 -2.708050201102210508e+00
1.034639920268267588e+01 1.260109814749727608e+00 1.058453974573122309e+02 -2.708050201102210508e+00
1.033576303815287289e+01 1.605892497342192415e+00 1.058508155206307606e+02 -2.708050201102210508e+00
9.997631029441105710e+00 7.841520610479816300e-01 1.058577488571530409e+02 -2.708050201102210508e+00
1.034697730568347218e+01 1.558849455335725498e+00 1.058580905549860205e+02 -2.708050201102210508e+00
8.504573141473441567e+00 1.057546224270822233e+00 1.058636211035893240e+02 -2.708050201102210508e+00
1.027261349549994129e+01 1.087452075365484605e+00 1.058692128807208377e+02 -2.708050201102210508e+00
8.409166152445093800e+00 1.845543264672246719e+00 1.058748963062718076e+02 -2.708050201102210508e+00
9.966979804120638775e+00 7.648049761942292690e-01 1.058814513005476954e+02 -2.708050201102210508e+00
1.018553991410000847e+01 1.844037866663069680e+00 1.058834069610667683e+02 -2.708050201102210508e+00
1.029029691668747404e+01 1.690732549125752548e+00 1.058847913585808556e+02 -2.708050201102210508e+00
8.332994306471540824e+00 1.412876638071967728e+00 1.058882456420640210e+02 -2.708050201102210508e+00
1.022182890708915437e+01 1.789718952064258684e+00 1.059035433761289084e+02 -2.708050201102210508e+00
