# Tau0 Delta logL logPrior
5.145032099148170168e+00 1.152911878039145854e+00 5.097494457522126510e+01 -2.708050201102210508e+00
1.328560843674116221e+01 1.035894734574610121e+00 5.106558365479455119e+01 -2.708050201102210508e+00
1.324934059882395587e+01 1.028102292376594784e+00 5.135821723843259434e+01 -2.708050201102210508e+00
5.313071202081858679e+00 1.107959996105440492e+00 5.139866326775383953e+01 -2.708050201102210508e+00
1.180490786540016934e+01 6.191615913910012425e-01 5.150848970988518971e+01 -2.708050201102210508e+00
1.456945988004347292e+01 1.435905229461806432e+00 5.168726214748136982e+01 -2.708050201102210508e+00
1.492904208206245897e+01 1.555455202982931162e+00 5.205580920248830523e+01 -2.708050201102210508e+00
1.243184458753725430e+01 7.973578319078221677e-01 5.217597730555939251e+01 -2.708050201102210508e+00
1.371724718008019295e+01 1.181675953996478956e+00 5.248113814092738494e+01 -2.708050201102210508e+00
6.223466912355461567e+00 8.555435391571768466e-01 5.279834753667712732e+01 -2.708050201102210508e+00
1.227777326349734466e+01 7.606156836717516967e-01 5.311046319115505554e+01 -2.708050201102210508e+00
1.303387003030832503e+01 9.836350985852587714e-01 5.332820679680840215e+01 -2.708050201102210508e+00
1.470168267172523180e+01 1.505575126652025864e+00 5.348960046316666705e+01 -2.708050201102210508e+00
5.718011395316485945e+00 1.011657474109851629e+00 5.370608366437644321e+01 -2.708050201102210508e+00
1.332092973229293875e+01 1.074449805018917292e+00 5.370780820871074468e+01 -2.708050201102210508e+00
1.373917446380074558e+01 1.204050769184358050e+00 5.375383771007157918e+01 -2.708050201102210508e+00
5.808429221498546013e+00 9.869978318188039612e-01 5.392674648895875578e+01 -2.708050201102210508e+00
1.402496957077122275e+01 1.301089374779064611e+00 5.429735387541194314e+01 -2.708050201102210508e+00
5.447523323657653016e+00 1.099142246272094559e+00 5.435282695916043849e+01 -2.708050201102210508e+00
1.239529060809809913e+01 8.043305479114720713e-01 5.436774400673021290e+01 -2.708050201102210508e+00
1.398473432344549217e+01 1.294359520356115789e+00 5.473617507017323192e+01 -2.708050201102210508e+00
5.119577441513810001e+00 1.204735525658748196e+00 5.487723782623884006e+01 -2.708050201102210508e+00
6.467369790498864290e+00 8.019234353168765983e-01 5.495159213236819795e+01 -2.708050201102210508e+00
5.923176668899925446e+00 9.628829712707460686e-01 5.497183366197285892e+01 -2.708050201102210508e+00
1.350701771213257985e+01 1.154435722183434265e+00 5.560990977758132203e+01 -2.708050201102210508e+00
7.522936020148996761e+00 5.035993112236207825e-01 5.569251360968847564e+01 -2.708050201102210508e+00
1.421816865422124643e+01 1.393333331896629890e+00 5.634093245841022934e+01 -2.708050201102210508e+00
1.425241065602243218e+01 1.406523165232176353e+00 5.646534680134860906e+01 -2.708050201102210508e+00
1.352416053342997238e+01 1.172316489905862902e+00 5.659593765921393071e+01 -2.708050201102210508e+00
1.442843166761720930e+01 1.467178808525110512e+00 5.662059726480263322e+01 -2.708050201102210508e+00
7.284432244632767173e+00 5.778996330739438747e-01 5.688867069718945402e+01 -2.708050201102210508e+00
5.199915170803203424e+00 1.204559355900918449e+00 5.689290980135685061e+01 -2.708050201102210508e+00
6.643141271826131344e+00 7.657534082430063060e-01 5.692302238494839628e+01 -2.708050201102210508e+00
1.336171451374110397e+01 1.125609358034492580e+00 5.699587550699616401e+01 -2.708050201102210508e+00
