# amplitude duration logL logPrior
5.849704744243853227e-01 1.173836449429285800e+01 8.581146485360554266e+01 -5.228481599920394629e+00
7.314541251730817262e-01 1.111159899507776849e+01 8.618258529612612051e+01 -5.228481599920394629e+00
7.180625882037529051e-01 7.566349625274806812e+00 8.664180904531986016e+01 -5.228481599920394629e+00
8.198481596758280254e-01 6.998616643646201396e+00 8.675599744196561858e+01 -5.228481599920394629e+00
5.985395223575324941e-01 1.155116600000783578e+01 8.727785927817930656e+01 -5.228481599920394629e+00
7.851611359961045977e-01 9.974054516602581799e+00 8.752400083803846087e+01 -5.228481599920394629e+00
8.175552381362451992e-01 9.214173740264056889e+00 8.809067474538272791e+01 -5.228481599920394629e+00
6.524139514093675318e-01 1.177904871911502127e+01 8.819255506250487997e+01 -5.228481599920394629e+00
6.895389725886748034e-01 1.142851599013328467e+01 8.820974017518456378e+01 -5.228481599920394629e+00
6.083603137043575027e-01 1.041157039368199122e+01 8.822759873399681396e+01 -5.228481599920394629e+00
6.349523630104968452e-01 1.178918784001644759e+01 8.832987505927806637e+01 -5.228481599920394629e+00
8.315615508842565395e-01 8.827653368802746314e+00 8.834461707880657855e+01 -5.228481599920394629e+00
8.549595638615985482e-01 7.982614969435321228e+00 8.838420908539822562e+01 -5.228481599920394629e+00
6.221631821807329654e-01 9.739128550777016002e+00 8.842897678533074668e+01 -5.228481599920394629e+00
6.540372264368706778e-01 1.165452647605545700e+01 8.872276975005085831e+01 -5.228481599920394629e+00
6.930796971862341893e-01 8.134440358066994392e+00 8.872649494657767377e+01 -5.228481599920394629e+00
7.418481790009054944e-01 7.603458586510768669e+00 8.882200308394774879e+01 -5.228481599920394629e+00
8.332165481961572029e-01 8.658084777874174520e+00 8.888434890235961916e+01 -5.228481599920394629e+00
6.690930983647066510e-01 1.151315990052760263e+01 8.891180442931414518e+01 -5.228481599920394629e+00
6.771000101721388331e-01 8.427783227994654069e+00 8.898489694914465531e+01 -5.228481599920394629e+00
6.983572890707832048e-01 1.113387344957018854e+01 8.927802001949692112e+01 -5.228481599920394629e+00
6.894985824066527380e-01 1.123276175153047873e+01 8.931554950609503862e+01 -5.228481599920394629e+00
6.659969384867516773e-01 8.699046654414132718e+00 8.933191506563906614e+01 -5.228481599920394629e+00
6.875219970005426173e-01 8.314783107653184402e+00 8.935960891104238613e+01 -5.228481599920394629e+00
7.860904485967067368e-01 9.663320094529616711e+00 8.940179981026307132e+01 -5.228481599920394629e+00
6.373025646283028145e-01 1.147033341396089590e+01 8.943727587428652726e+01 -5.228481599920394629e+00
6.347041946435740822e-01 1.140222528196422935e+01 8.957322760037385478e+01 -5.228481599920394629e+00
6.279477815617404701e-01 9.930871518692878652e+00 8.962328833570424536e+01 -5.228481599920394629e+00
6.465431248730750813e-01 1.143291537883052023e+01 8.966218900140118819e+01 -5.228481599920394629e+00
6.597051397542077478e-01 1.139552980349898981e+01 8.971427644703379656e+01 -5.228481599920394629e+00
7.072935135765747727e-01 8.090444346782607710e+00 8.973059495172655886e+01 -5.228481599920394629e+00
7.202392765069433045e-01 1.072499425478571666e+01 8.990770556261229274e+01 -5.228481599920394629e+00
6.817811513153442249e-01 1.118855930911691487e+01 8.994233448431091915e+01 -5.228481599920394629e+00
6.247663476622890011e-01 1.042002325666852336e+01 8.998881742411663254e+01 -5.228481599920394629e+00
7.982343416441779471e-01 9.295553234640470563e+00 8.998935236138717642e+01 -5.228481599920394629e+00
