amplitude	duration	logL
2.96752168675853624791e+01	2.76388581127017793904e+01       -1.768872e+06
2.97294295503641379241e+01	2.71572160587253996766e+01       -1.747897e+06
2.93265538203491473723e+01	2.78514805387946573489e+01       -1.738778e+06
2.86546406694004964777e+01	2.88550699234608138966e+01       -1.711442e+06
2.88353995225723274132e+01	2.81029984152798633090e+01       -1.693674e+06
2.75720506734201258325e+01	2.97675710434585738540e+01       -1.626365e+06
2.85133457625016468739e+01	2.73981565161210767201e+01       -1.618731e+06
2.98056668084605789204e+01	2.44388648939140118443e+01       -1.596890e+06
2.88762626976391629796e+01	2.55143668868477355716e+01       -1.557687e+06
2.98853902916877167684e+01	2.35679796629805125008e+01       -1.552636e+06
2.71196210765509917451e+01	2.89076865409775578541e+01       -1.533179e+06
2.80923578558825575158e+01	2.66020263896296569328e+01       -1.529777e+06
2.83282504184668013636e+01	2.60523717206630713861e+01       -1.526938e+06
2.68438963809973785146e+01	2.91720375249579504384e+01       -1.513715e+06
2.90044866512734387243e+01	2.40126757267221044856e+01       -1.486718e+06
2.99312493790555222972e+01	2.23354658639835434997e+01       -1.481277e+06
2.80767069843544732066e+01	2.55514634980125201480e+01       -1.473395e+06
2.79239215745642752609e+01	2.57231450981805487288e+01       -1.466068e+06
2.92110393758981459200e+01	2.29104238620500346713e+01       -1.443819e+06
2.91351079416391165466e+01	2.29470181240020387747e+01       -1.438356e+06
2.80163888522007233917e+01	2.44416530323796443724e+01       -1.408562e+06
2.92301322087440986763e+01	2.22458459539152499929e+01       -1.406372e+06
2.76448668707135034595e+01	2.50695630677870049396e+01       -1.403197e+06
2.64468590377652361667e+01	2.74653165903833240691e+01       -1.392700e+06
2.69980239818339100566e+01	2.61767165029533757092e+01       -1.390961e+06
2.71649940742842126440e+01	2.57339728656320438915e+01       -1.386877e+06
2.90449897325841988049e+01	2.20619614821262786108e+01       -1.377535e+06
2.83369609691994845946e+01	2.30536564261037177914e+01       -1.365396e+06
2.96367336765718931701e+01	2.07845596872973636948e+01       -1.356223e+06
2.85416175698770189229e+01	2.24475855458198907399e+01       -1.351346e+06
2.81573213824473853606e+01	2.29407168548571185340e+01       -1.341705e+06
2.91368328165806929064e+01	2.12880715292017193008e+01       -1.340343e+06
2.85257793388309437432e+01	2.21014918803316327001e+01       -1.330231e+06
2.76128113241162225222e+01	2.34114818747943580490e+01       -1.314214e+06
2.72937226553196978784e+01	2.37670878464539008235e+01       -1.301666e+06
2.81004900326879152317e+01	2.22686270037451805592e+01       -1.299446e+06
2.88588155840495126370e+01	2.08474481191259322088e+01       -1.288590e+06
2.71776114831806374639e+01	2.36875469202674651115e+01       -1.286434e+06
2.99896311764811365208e+01	1.91768616028588922973e+01       -1.285909e+06
2.45179617878792051044e+01	2.98312948399430339919e+01       -1.284164e+06
2.52367234692083464154e+01	2.78217269572143095502e+01       -1.280999e+06
2.77803377608951080902e+01	2.23538412694936674541e+01       -1.274118e+06
2.73620245706912896821e+01	2.25522884663579112896e+01       -1.245748e+06
2.40467534913621001635e+01	2.98981147751392946077e+01       -1.236950e+06
2.87623166016889442176e+01	1.99196927803286101266e+01       -1.225265e+06
2.85028785313548915781e+01	2.01913647062368895035e+01       -1.218651e+06
2.74265468470384234934e+01	2.19104584217413993485e+01       -1.218129e+06
2.81120553368501120417e+01	2.03472748178413382902e+01       -1.193689e+06
2.76579032982726573664e+01	2.10441295767408682593e+01       -1.192568e+06
2.49656638767388159295e+01	2.63035645455253934699e+01       -1.191783e+06
2.42890862566992105087e+01	2.79197824348271765871e+01       -1.188909e+06
2.38628091213105584245e+01	2.90664251930464736517e+01       -1.188296e+06
