# amplitude duration logL logPrior
1.371224467778446421e+00 1.061541570381269928e+01 7.564193169160898833e+01 -5.228481599920394629e+00
1.264045242521991907e+00 1.261921748748208572e+01 7.571265337170530074e+01 -5.228481599920394629e+00
1.518171462534166460e+00 1.053915686976365684e+01 7.579653713701662809e+01 -5.228481599920394629e+00
1.269816909837840679e+00 1.227546940235869677e+01 7.580674693732129299e+01 -5.228481599920394629e+00
1.267636648999500570e+00 1.249730341134537603e+01 7.604543397996982890e+01 -5.228481599920394629e+00
1.269394684576593768e+00 1.261729255415973938e+01 7.634379941659472024e+01 -5.228481599920394629e+00
1.359031211549035056e+00 1.080625679011577134e+01 7.663287750952494548e+01 -5.228481599920394629e+00
1.326240979526398078e+00 1.120028932268278865e+01 7.670503686768724094e+01 -5.228481599920394629e+00
1.276496825782172939e+00 1.279896428506859252e+01 7.681615637590236645e+01 -5.228481599920394629e+00
1.341784774109399558e+00 1.288332793691012235e+01 7.702606094035689921e+01 -5.228481599920394629e+00
1.351960205121265357e+00 1.092044121957889402e+01 7.710998806986023624e+01 -5.228481599920394629e+00
1.500067338285150820e+00 1.084814317634846326e+01 7.724988475650174280e+01 -5.228481599920394629e+00
1.473458805078014633e+00 1.025167483963415549e+01 7.729528122568663662e+01 -5.228481599920394629e+00
1.447054924406484755e+00 1.029004636332196299e+01 7.736647639526688636e+01 -5.228481599920394629e+00
1.383704289772635931e+00 1.064486403543202897e+01 7.740527100054890752e+01 -5.228481599920394629e+00
1.304156700905856781e+00 1.164552931115969869e+01 7.742927437925411027e+01 -5.228481599920394629e+00
1.403271429868166109e+00 1.232781438294862930e+01 7.750626000882520827e+01 -5.228481599920394629e+00
1.500152248748659822e+00 1.053860356842114143e+01 7.755850134653033479e+01 -5.228481599920394629e+00
1.412117368653188265e+00 1.222581524468915326e+01 7.758123200196644120e+01 -5.228481599920394629e+00
1.300804093122204907e+00 1.285012833906354146e+01 7.793025117739887264e+01 -5.228481599920394629e+00
1.437431579154983430e+00 1.188643886430373264e+01 7.795706336338002984e+01 -5.228481599920394629e+00
1.285929810794925299e+00 1.248242922741775729e+01 7.806442105701475498e+01 -5.228481599920394629e+00
1.396417169404412739e+00 1.234606391997848718e+01 7.807157737020776267e+01 -5.228481599920394629e+00
1.418944285706601249e+00 1.209221590755227993e+01 7.818064122093022661e+01 -5.228481599920394629e+00
1.372413759049330162e+00 1.081531597924458055e+01 7.824725511659244148e+01 -5.228481599920394629e+00
1.442278948189116727e+00 1.039237657088369993e+01 7.829990128836624308e+01 -5.228481599920394629e+00
1.384079955576960508e+00 1.072657630849709953e+01 7.838846378785905245e+01 -5.228481599920394629e+00
1.299472659843463607e+00 1.272179302207015894e+01 7.848598512531997073e+01 -5.228481599920394629e+00
1.482729212016062670e+00 1.047083102714662672e+01 7.849193251494540391e+01 -5.228481599920394629e+00
1.338892624153753541e+00 1.273747884279613984e+01 7.850816262636885767e+01 -5.228481599920394629e+00
1.482053525362853730e+00 1.106395333791750168e+01 7.850918679282190737e+01 -5.228481599920394629e+00
1.481468733241126268e+00 1.107755857594160531e+01 7.851550363286236234e+01 -5.228481599920394629e+00
1.487446142322464304e+00 1.087997729869354657e+01 7.854826617329580074e+01 -5.228481599920394629e+00
1.480766167295195279e+00 1.108321873465695973e+01 7.857003710375325056e+01 -5.228481599920394629e+00
1.414144021727263389e+00 1.210558166054073581e+01 7.860167146697830276e+01 -5.228481599920394629e+00
1.487511294733293576e+00 1.059233929737794533e+01 7.860198864172028266e+01 -5.228481599920394629e+00
1.312657349678881369e+00 1.277082453876825774e+01 7.860524800650767929e+01 -5.228481599920394629e+00
1.299202833557188574e+00 1.267816014709266703e+01 7.863793000613975437e+01 -5.228481599920394629e+00
1.478173744660532085e+00 1.111516388720728266e+01 7.871765441986069334e+01 -5.228481599920394629e+00
1.457704813209282246e+00 1.041516643151628330e+01 7.872381806397756066e+01 -5.228481599920394629e+00
1.391345538644431112e+00 1.070153997558999670e+01 7.873684745024031884e+01 -5.228481599920394629e+00
1.327010871025497085e+00 1.141744275083807025e+01 7.875061338066072381e+01 -5.228481599920394629e+00
1.484813380916274461e+00 1.090132978133156350e+01 7.876201303143685095e+01 -5.228481599920394629e+00
1.395114326438491981e+00 1.228101940213091581e+01 7.886286174948745042e+01 -5.228481599920394629e+00
1.328981913403031845e+00 1.271798864708259202e+01 7.891660607163916552e+01 -5.228481599920394629e+00
1.452393422088753994e+00 1.044371703719885147e+01 7.893607196570971496e+01 -5.228481599920394629e+00
1.383657086768798505e+00 1.237674603945011320e+01 7.898028008240865461e+01 -5.228481599920394629e+00
1.482581105691786139e+00 1.088622308001269445e+01 7.900900094141960039e+01 -5.228481599920394629e+00
1.448607057122630604e+00 1.161122050587742116e+01 7.902292173574680589e+01 -5.228481599920394629e+00
1.468444773296317507e+00 1.048297911202981325e+01 7.906094939934305899e+01 -5.228481599920394629e+00
1.450374718142756425e+00 1.157476694481169055e+01 7.909547753338372900e+01 -5.228481599920394629e+00
1.455707221349523017e+00 1.046348051283388791e+01 7.909735450794113376e+01 -5.228481599920394629e+00
1.466164561310950409e+00 1.130066976175271520e+01 7.910824727966183900e+01 -5.228481599920394629e+00
1.398429900651306124e+00 1.068624809145220667e+01 7.911099388004487309e+01 -5.228481599920394629e+00
1.312761869926425407e+00 1.174248350129379936e+01 7.912256721317410779e+01 -5.228481599920394629e+00
1.323989123293622505e+00 1.152078692960937012e+01 7.912515668345454856e+01 -5.228481599920394629e+00
1.402728579165067879e+00 1.217445512592196621e+01 7.913954590526510913e+01 -5.228481599920394629e+00
1.369360680426946475e+00 1.093515121541594581e+01 7.917891425845800768e+01 -5.228481599920394629e+00
1.314324483146368960e+00 1.266795566611054547e+01 7.918878827672041609e+01 -5.228481599920394629e+00
1.406019300625312329e+00 1.213398470225467740e+01 7.919058736063936976e+01 -5.228481599920394629e+00
1.380237828194762484e+00 1.083699242593899292e+01 7.920252691202372830e+01 -5.228481599920394629e+00
