# amplitude duration logL logPrior
2.999890877337118411e+01 2.909478526776660701e+01 -8.015538147991688456e+05 -5.228481599920394629e+00
2.919972337010233332e+01 2.963722301806069837e+01 -7.664014885783938225e+05 -5.228481599920394629e+00
2.925091194317860044e+01 2.837130992096505011e+01 -7.153897083512161626e+05 -5.228481599920394629e+00
2.957146627122964233e+01 2.740412531051296696e+01 -6.955330953886430943e+05 -5.228481599920394629e+00
2.940397702194269414e+01 2.765128974852170529e+01 -6.949028400288077537e+05 -5.228481599920394629e+00
2.887233099804863556e+01 2.759559405813858746e+01 -6.570113000407252694e+05 -5.228481599920394629e+00
2.816543127190423235e+01 2.862167351249735248e+01 -6.517349414511251962e+05 -5.228481599920394629e+00
2.917505431370413049e+01 2.673854575690848634e+01 -6.409996743267804850e+05 -5.228481599920394629e+00
2.829529682732914608e+01 2.748843502915301329e+01 -6.153651418664472876e+05 -5.228481599920394629e+00
2.894538769873885542e+01 2.625154277112799406e+01 -6.064127000631281408e+05 -5.228481599920394629e+00
2.745731842919888877e+01 2.840322442063602537e+01 -5.972936891081884969e+05 -5.228481599920394629e+00
2.833197520632866784e+01 2.667828835442850988e+01 -5.858046772550650639e+05 -5.228481599920394629e+00
2.760559047812976985e+01 2.772888778663948273e+01 -5.813761502309506759e+05 -5.228481599920394629e+00
2.757142981624729927e+01 2.751711655658097655e+01 -5.713689765773252584e+05 -5.228481599920394629e+00
2.688876620951682028e+01 2.836031757858648916e+01 -5.602864556317130337e+05 -5.228481599920394629e+00
2.929174051019108660e+01 2.445168189680460813e+01 -5.535900060129307676e+05 -5.228481599920394629e+00
2.916081121401070320e+01 2.418746026796758741e+01 -5.355364112207203871e+05 -5.228481599920394629e+00
2.771141124926557708e+01 2.628111675968279570e+01 -5.338222234398521250e+05 -5.228481599920394629e+00
2.563497121645618293e+01 2.959390280783081550e+01 -5.259260451532439329e+05 -5.228481599920394629e+00
2.918749159437033569e+01 2.381894171486915823e+01 -5.222868422844313900e+05 -5.228481599920394629e+00
2.787188375391338724e+01 2.562152301341853189e+01 -5.185610306136502186e+05 -5.228481599920394629e+00
2.739177604882563699e+01 2.611057972431778751e+01 -5.093944136187179247e+05 -5.228481599920394629e+00
2.556407260937952231e+01 2.904767774646995093e+01 -5.041340260673573939e+05 -5.228481599920394629e+00
2.891028912362238401e+01 2.370790975835947734e+01 -5.029181100765443989e+05 -5.228481599920394629e+00
2.749464903338425259e+01 2.572917025275550529e+01 -5.014303867136957124e+05 -5.228481599920394629e+00
2.497475937524486866e+01 2.995355747449186623e+01 -4.979063808393232757e+05 -5.228481599920394629e+00
2.740183488105376242e+01 2.571012926422614342e+01 -4.956244469263413339e+05 -5.228481599920394629e+00
2.907455782490485419e+01 2.303753920887018936e+01 -4.855285315716405166e+05 -5.228481599920394629e+00
2.930083016915991934e+01 2.265464304605310275e+01 -4.822665377283728449e+05 -5.228481599920394629e+00
2.668485878689889290e+01 2.595479931444140220e+01 -4.652241411589003401e+05 -5.228481599920394629e+00
2.786901992212324330e+01 2.414281620099944092e+01 -4.643838100556712598e+05 -5.228481599920394629e+00
2.554431904105786089e+01 2.775735347180186352e+01 -4.621290201841714443e+05 -5.228481599920394629e+00
2.867461845097234274e+01 2.289542811786050791e+01 -4.596783817570723477e+05 -5.228481599920394629e+00
2.721104163078132743e+01 2.490989007244274944e+01 -4.573046333222643589e+05 -5.228481599920394629e+00
2.619560061253416805e+01 2.639350520414340551e+01 -4.536847150512821972e+05 -5.228481599920394629e+00
2.983766851103645479e+01 2.103625774578167551e+01 -4.452824624332343810e+05 -5.228481599920394629e+00
2.495243215956388383e+01 2.798512395069148440e+01 -4.370948169601441477e+05 -5.228481599920394629e+00
2.581463761046565608e+01 2.648712468818795074e+01 -4.366396539793151314e+05 -5.228481599920394629e+00
2.371047250464174283e+01 2.975388078680935777e+01 -4.210360693809715449e+05 -5.228481599920394629e+00
2.569799358825575553e+01 2.601356979638385525e+01 -4.158900485588465817e+05 -5.228481599920394629e+00
2.407071103252860667e+01 2.886917011278320189e+01 -4.158460172332093935e+05 -5.228481599920394629e+00
2.624182108755097786e+01 2.414136636126017521e+01 -3.841490535167261842e+05 -5.228481599920394629e+00
2.904046826210530341e+01 2.001127191627776725e+01 -3.709981643280719873e+05 -5.228481599920394629e+00
2.299082844946246951e+01 2.917509539259508955e+01 -3.688214243209095439e+05 -5.228481599920394629e+00
